auteur_persee_id,auteurlabel
57393,Max Terrier
57394,Anne-Catherine Bernes
57396,Sylvain Zac
57397,Gerhard Heinzmann
57398,Catherine Chevalley
57400,John Greenberg
57401,Jules Six
57402,Fabrice Roussel
57403,Jean Christian Ricard
57404,Jean-Luc Chabert
57405,Umberto Bottazzini
57406,Erhard Scholz
57407,Bernard Pourprix
57409,Tony Levy
57410,Jean Pierre Verdet
57413,Colette Dieny
57414,Joël Brenier
57417,Catherine Jami
57424,Eva Telkes
57425,André Robinet
57427,Rhoda Rappaport
57434,Clifford A. Truesdell
57435,Jeremy Gray
57436,Detlef Laugwitz
57438,Egidio Festa
57439,Alberto Castrillon
57440,Gerhard Heinrich Müller
57441,Janet Browne
57442,Paolo Brenni
57444,Douglas Jesseph
57445,Jan Prins
57446,Michel Saillard
57447,Yves Cortial
57448,Michel Fichant
58872,René Taton
61996,Jean Mayer
62038,Georges Lefebvre
62219,Paul Levy
62994,Georges Labica
63158,Claude Blanckaert
63572,Jean Boissel
63741,Jean Jacquot
63914,Jacques Roger
66292,François Hominal
66623,Françoise Balibar
67888,Marie-Françoise Mortureux
67958,Georges Metailié
68163,J. Lessertisseur
76022,Arnold Reymond
76044,Carra De Vaux
76050,Louis Cahen
76073,Pierre GAUJA
76076,Allen G. Debus
76077,Gad Freudentahl
76081,Resianne Fontaine
76085,C. De Buzon
76086,B. A. Rosenfeld
76087,Philip Horowitz
76088,E. Cohen
76252,Pierre Sergescu
76303,Suzanne Delorme
76314,Pierre Humbert
76315,Léon Auger
76316,Louis Joyignot
76390,C. De Waard
76392,Robert Lenoble
76393,Bernard Rochot
76401,George Sarton
76402,Henri Daudin
76403,G. Bugler
76404,M. Courtin
76420,Charles Brunold
76422,R. Bouvier
76428,Giovanni Polvani
76436,I. Cahen
76537,H.W. Jones
76538,Gérard Vassails
76567,E.M. Bruins
76572,J. Pelsenekh
76573,J. Hard
76578,Armand Machabey
76580,Henri Cotard
76581,T. François
76583,F. Lelionnais
76584,S. C. Van Veen
76585,A. Virieux
76586,Maxime Laignel-Lavastine
76588,Ernest Wickersheimer
76590,J. Belin-Milleron
76591,A. J. J. Van de Velde
76592,Albert Delorme
76593,H. Bernard-Maître
76594,Joachim Hofmann
76595,B. Ben Yahia
76596,P. Chalus
76597,Juliette Taton
76599,A. Tétry
76600,A. Cuvillier
76601,J. Nicolle
76602,M. Vintéjoux
76603,S. Bodet
76604,P. Rossier
76605,A. Gloden
76607,François Rostand
76608,Pierre Astruc
76610,Louis Chauvois
76611,R. Dugas
76613,J. H. Luce.
76614,Patrick Michel
76700,P. Ostoya
76701,Dr Simon
76702,Suzanne Colnort
76703,E. J. Dijksterhuis
76704,Jacques Hadamard
76705,Desiderio Papp
76706,Frans Jonckheere
76713,A. Delaunay
76750,François Grégoire
76751,H. Epstein
76838,Henri Berr
76840,Jacques Tannery
76842,A. Natucci
76861,René Bied-Charreton
76868,V. Brun
76877,R. Hooykaas
76966,Pierre Speziali
76967,G. Bouligand
76969,E. Van Everdingen
76970,Željko Marcovic
76972,Hélène Konczewska
76993,Marie Boas
77044,Dr Nguyen Tran Huan
77045,Marie Lacoarret
77048,Martin Levey
77054,Karel Rychlík
77055,J. Brocas
77056,Y. Drieux
77146,Filippo Russo
77411,A. Davy de Virville
77445,Denis Duveen
77489,Ch. Naux
77505,André Nadal
77507,Dr Torlais
77509,T. Kahan
77523,R. Klein
77533,P. Wong
77562,Albert Vandel
77564,G. V. Bykov
77565,J. Bayard-Pierlot
77566,Marc Klein
77567,François Moreau
77568,Maurice Bert
77569,W. Voisé
77570,Hâmid Dilgan
77573,L. Glesinger
77575,Duchan Nedelkovitch
77576,Constantin Davydoff
78274,David Tabor
78275,A.-L. Leroy
78278,Lesley Hanks
78279,R. J. Maras
78280,Jean-Paul Pier
78281,J. Gérard
79759,Joseph Schiller
79761,Fernand Moreau
79762,Bernard Bolzano
79775,Louis C. Hunter
79776,R. De Micheaux.
79777,Jacques Momot
79783,François Russo
79794,Robert M. McKeon.
79795,Seymour L. Chapin
79797,Jean-Louis Dumas
79798,M. Crosland
79828,Dominique Dubarle
79855,Henri Michelet
79856,Robert Soulard.
79857,Hubert Delesalle
79858,Jean-Edouard Morère
79859,L. H. de Destaillats
79860,R. Lauat
79861,Bernard Dumortier
79862,Alain Rousseau
79863,Reino Virtanen
79864,Bernard Halpern
79866,W. A. Gabbey
79868,Charles Kayser
79869,Gilles Maheu
79870,D. A. Wittop-Koning
79871,Isabelle Bach Maková
79872,Bernard Dame
79873,Helen Ogigova
79874,Aniela Szwejcerowa.
79876,Pierre Gostabel
79877,B. De Beaurepaire-Louvagny
79878,A. Garanger
79880,K. M. Baker
79881,Kokiti Hara
79944,Jiri Marek
79945,N. I. Simonov
79946,Carlos Alberto Infantozzi.
79947,Danuta Rederowa
79948,Roshdi Rached
79949,L.-J.-M. Sahuc
79952,Maurice Nicklès
79954,Francis Courtes
79955,Camille Limoges
79957,Boris Josifov Miloschev
79959,A. Rupert Hall
79960,W. Dobrovolskij
79961,B. V. Faddeev
79962,Jacques Foiret
80008,V. A. Dobrovolsky
80014,Ernest Stipanic
80023,P. Casini
80025,Jean Grisard
80026,Guy Pueyo
80027,F. Jílek
80051,L. Lusternik
80052,Dominique Noir
80062,Tamotsu Murata
80219,A. Frenk
80220,B. Kouznetsov
80232,M.-L. Cazenave
82361,E. A. Kniajetskaia
82363,J. Mandelbaum
82365,Andrea Ubrizsy
82445,Joëlle Guilhot
82472,Karolina Targosz
82475,Olivier Costa De Beauregard
82476,Józef Hurwic
82477,Aurel Petrescou
82478,O. Godart
82479,Michel Heller
82480,F. K. Jouffroy
82481,Lucie Arvy
82482,Bernard Heuvelmans
82483,Jacques Rousset
82484,Jozef Hufswic
82485,Armand Beaulieu
82486,Alexandre Herlea
82488,I. Grattan-Guinness
82491,Claudine Billoux
82493,Pierre Berthon
82495,Pascal Lefèbvre
82496,J. Largeault
82502,François Dupuigrenet-Desroussilles
82505,Yehuda Rav
82506,Jean-Paul Mathieu
82769,N. Piepenbrock
82770,V. Malquarti
82771,M. Dürr
82775,Jean-Paul Deleage
82776,Dimitrios Dialetis
82777,Guy Giraud
82778,Roland Faure
82779,Leonid Kryzhanovski
82806,Maria Teresa Monti
82807,Sabine Koelblen
82808,Ken Saito
82810,Yorgos Goudaroulis
82811,Victor A. Kritsman
82815,Bruno Morando
82816,Filipe Drapeau Contim
82818,Anne-Marie Drouin-Hans
82819,Maria Jesus Santesmases
82820,Emilio Munoz
82821,Paul Fournier
82822,Jonathan Hodge
82823,Keiko Kawashima
82824,Bruno J. Strasser
82825,John E. Murdoch
82826,Edmond Mazet
82827,Jean Celeyrerre
82828,Maria Rosa Massa Esteve
82830,Danielle Wonsch
83834,Stéphanie Méchine
83835,M. Petit
83847,Jean-Marie Guillo
139521,John Pappas
139669,François De Gandt
139671,Véronique Le Ru
142488,Denis Savoie
142773,F.S. Bodenheimer
142775,Yves François
142777,Paul Eymard
142778,J.P. Lafon
142780,M. Lacoin
142781,J.D. Bernal
142782,Léon Bouthillon
142784,V. Zoubov
142794,Douglas McKie
142804,Edmond Bauer
142805,Galileo Galilei
142806,Yvonne Poulle-Drieux
142807,E. Guyénot
143254,Michel Allard
144204,Patrick Matagne
144451,André Metz
144462,R. S. Woodbury
144463,Guy Renard
144464,J. Sevin
144465,Jean Pilisi
144466,P. W. Bishop
144473,Adrienne R. Weill
144481,C. Guipaud
144482,Jacques Postel
144491,Monique Sené
144500,Wladislaw De Wieclawik
144533,Gérard Emptoz
144536,Claude Comte
149135,Pascal Acot
150966,Olivier Perru
150991,Michel Paty
