personne_id,auteur_persee_id,idref,auteurlabel,year_of_birth,year_of_death,sex_or_genderLabel
http://www.wikidata.org/entity/Q7496986,142773,074970399,F.S. Bodenheimer,1897,1959,masculin
http://www.wikidata.org/entity/Q7496986,142773,124175287,F.S. Bodenheimer,1897,1959,masculin
http://www.wikidata.org/entity/Q83331,57290,026754290,Louis De Broglie,1892,1987,masculin
http://www.wikidata.org/entity/Q83385263,67958,027025454,Georges Metailié,1942,????,masculin
http://www.wikidata.org/entity/Q83947156,266681,057744890,Antonella Romano,1962,????,féminin
http://www.wikidata.org/entity/Q901352,198025,031585086,Marcel Florkin,1900,1979,masculin
http://www.wikidata.org/entity/Q9059577,29477,027092461,Pietro Redondi,1950,????,masculin
http://www.wikidata.org/entity/Q90610,57436,031756603,Detlef Laugwitz,1932,2000,masculin
http://www.wikidata.org/entity/Q918438,57367,026934310,Stanley L. Jaki,1924,2009,masculin
http://www.wikidata.org/entity/Q93221005,244231,031819583,Cristina Viano,1959,????,féminin
http://www.wikidata.org/entity/Q93222397,11197,09804477X,Sabine Rommevaux,1964,????,féminin
http://www.wikidata.org/entity/Q93222544,11219,no value,Guido Giglioni,1964,????,masculin
http://www.wikidata.org/entity/Q93223891,10539,no value,Maurice Clavelin,1927,????,masculin
http://www.wikidata.org/entity/Q93226227,57438,no value,Egidio Festa,1930,????,masculin
http://www.wikidata.org/entity/Q93231218,215048,no value,Jean Seidengart,1949,????,masculin
http://www.wikidata.org/entity/Q93232849,54827,no value,Michel Pierre Lerner,1943,????,masculin
http://www.wikidata.org/entity/Q93234471,57376,no value,Bernardino Fantini,1947,????,masculin
http://www.wikidata.org/entity/Q93239446,216984,no value,Edouard Mehl,1970,????,masculin
http://www.wikidata.org/entity/Q93239927,202734,no value,Jean-Luc Solere,1960,????,masculin
http://www.wikidata.org/entity/Q93241831,54445,029245966,Michel Morange,1950,????,masculin
http://www.wikidata.org/entity/Q93241998,248241,no value,Jean-Yves Guillaumin,1951,????,masculin
http://www.wikidata.org/entity/Q93244336,10547,no value,Emmanuela Scribano,1948,????,féminin
http://www.wikidata.org/entity/Q93380578,10554,no value,Santiago Aragon,1965,????,masculin
http://www.wikidata.org/entity/Q938645,242159,026903784,Mirko Drazen Grmek,1924,2000,masculin
http://www.wikidata.org/entity/Q94111888,157466,no value,Georges Roque,1951,????,masculin
http://www.wikidata.org/entity/Q941762,57329,028359534,Marian Biskup,1922,2012,masculin
http://www.wikidata.org/entity/Q946091,275336,027104664,Daniel Roche,1935,????,masculin
http://www.wikidata.org/entity/Q950146,57434,031613713,Clifford A. Truesdell,1919,2000,masculin
http://www.wikidata.org/entity/Q95222829,232285,no value,Philippe Despoix,1957,????,masculin
http://www.wikidata.org/entity/Q95225800,10551,no value,Frederic De Buzon,1949,????,masculin
http://www.wikidata.org/entity/Q95235340,82486,028310535,Alexandre Herlea,1942,????,masculin
http://www.wikidata.org/entity/Q95330542,57440,no value,Gerhard Heinrich Müller,1947,????,masculin
http://www.wikidata.org/entity/Q95387047,51063,030375045,Annie Petit,1945,????,féminin
http://www.wikidata.org/entity/Q97982684,234113,028829891,Jean-Marc Drouin,1948,2020,masculin
http://www.wikidata.org/entity/Q982509,62994,026957272,Georges Labica,1930,2009,masculin
http://www.wikidata.org/entity/Q98768350,34712,030797640,Germana Ernst,1943,2016,féminin
http://www.wikidata.org/entity/Q98915494,238262,027044327,Emile Namer,1888,1979,masculin
http://www.wikidata.org/entity/Q98915494,238262,027044327,Emile Namer,1899,1979,masculin
http://www.wikidata.org/entity/Q99197099,57312,035023910,Th. Cahn,1896,1986,masculin
http://www.wikidata.org/entity/Q99371720,177305,no value,Marc Kalinowski,1946,????,masculin
