personne_id,auteur_persee_id,idref,auteurlabel,year_of_birth,year_of_death,sex_or_genderLabel
http://www.wikidata.org/entity/Q27999693,54618,028571576,Maurizio Torrini,1942,2019,masculin
http://www.wikidata.org/entity/Q2847500,10458,035654864,Andre Charrak,1953,????,masculin
http://www.wikidata.org/entity/Q2848551,57425,15580913X,André Robinet,1922,2016,masculin
http://www.wikidata.org/entity/Q28494497,238658,035371080,Brigitte Chamak,no value,????,féminin
http://www.wikidata.org/entity/Q2855960,76877,028351592,R. Hooykaas,1906,1994,masculin
http://www.wikidata.org/entity/Q2861912,76578,028259874,Armand Machabey,1886,1966,masculin
http://www.wikidata.org/entity/Q28648,57318,026767627,Doru Todericiu,1921,2008,masculin
http://www.wikidata.org/entity/Q2864997,30587,073314358,Arthur Birembaut,1905,1986,masculin
http://www.wikidata.org/entity/Q287953,57274,027109887,Jean Rostand,1894,1977,masculin
http://www.wikidata.org/entity/Q2897345,10528,026718979,Bernadette Bensaude Vincent,1949,????,féminin
http://www.wikidata.org/entity/Q2899549,239553,032441401,Bertrand Gille,1920,1980,masculin
http://www.wikidata.org/entity/Q2926897,82815,030778603,Bruno Morando,1931,1995,masculin
http://www.wikidata.org/entity/Q293224,11253,028006305,Marjorie Grene,1910,2009,féminin
http://www.wikidata.org/entity/Q29344825,76392,no value,Robert Lenoble,1902,1959,masculin
http://www.wikidata.org/entity/Q2935000,79955,031972004,Camille Limoges,1942,????,masculin
http://www.wikidata.org/entity/Q2941857,76085,02678596X,C. De Buzon,1951,????,féminin
http://www.wikidata.org/entity/Q2941889,275465,026827956,Catherine Despeux,1945,????,féminin
http://www.wikidata.org/entity/Q2941889,275465,026827956,Catherine Despeux,1946,????,féminin
http://www.wikidata.org/entity/Q2960178,57291,030732751,Charles Sadron,1902,1993,masculin
http://www.wikidata.org/entity/Q2966146,257680,026779528,Christophe Charle,1951,????,masculin
http://www.wikidata.org/entity/Q2975121,54437,027120422,Claire Salomon Bayet,1932,2016,féminin
http://www.wikidata.org/entity/Q2977027,63158,028593766,Claude Blanckaert,1952,????,masculin
http://www.wikidata.org/entity/Q2977434,57330,056542089,Claude Galarneau,1925,2018,masculin
http://www.wikidata.org/entity/Q2978467,47603,02973097X,Claudine Cohen,1951,????,féminin
http://www.wikidata.org/entity/Q2997497,76390,026815214,C. De Waard,1879,1963,masculin
http://www.wikidata.org/entity/Q30118593,54474,05220443X,Suzanne Debarbat,1928,????,féminin
http://www.wikidata.org/entity/Q3035109,79828,026839091,Dominique Dubarle,1907,1987,masculin
